#motif_id	gene_name	motif_similarity_qvalue	orthologous_identity	description
Zbtb6_glue	Zbtb6	0.0	1.0	placeholder
Osr2_glue	Osr2	0.0	1.0	placeholder
Pou2f3_glue	Pou2f3	0.0	1.0	placeholder
Eomes_glue	Eomes	0.0	1.0	placeholder
Tbr1_glue	Tbr1	0.0	1.0	placeholder
Tbx2_glue	Tbx2	0.0	1.0	placeholder
Tbx21_glue	Tbx21	0.0	1.0	placeholder
Rreb1_glue	Rreb1	0.0	1.0	placeholder
Klf15_glue	Klf15	0.0	1.0	placeholder
Gli3_glue	Gli3	0.0	1.0	placeholder
Egr4_glue	Egr4	0.0	1.0	placeholder
Egr3_glue	Egr3	0.0	1.0	placeholder
Egr1_glue	Egr1	0.0	1.0	placeholder
Wt1_glue	Wt1	0.0	1.0	placeholder
Egr2_glue	Egr2	0.0	1.0	placeholder
Klf9_glue	Klf9	0.0	1.0	placeholder
Zbtb14_glue	Zbtb14	0.0	1.0	placeholder
Sp3_glue	Sp3	0.0	1.0	placeholder
Sp8_glue	Sp8	0.0	1.0	placeholder
Sp9_glue	Sp9	0.0	1.0	placeholder
Klf11_glue	Klf11	0.0	1.0	placeholder
Klf16_glue	Klf16	0.0	1.0	placeholder
Klf1_glue	Klf1	0.0	1.0	placeholder
Klf10_glue	Klf10	0.0	1.0	placeholder
Klf12_glue	Klf12	0.0	1.0	placeholder
Klf2_glue	Klf2	0.0	1.0	placeholder
Klf7_glue	Klf7	0.0	1.0	placeholder
Sp4_glue	Sp4	0.0	1.0	placeholder
Zfp768_glue	Zfp768	0.0	1.0	placeholder
Gm10037_glue	Gm10037	0.0	1.0	placeholder
Zfp281_glue	Zfp281	0.0	1.0	placeholder
Zfp282_glue	Zfp282	0.0	1.0	placeholder
Neurod2_glue	Neurod2	0.0	1.0	placeholder
Olig2_glue	Olig2	0.0	1.0	placeholder
Zfp667_glue	Zfp667	0.0	1.0	placeholder
Zic3_glue	Zic3	0.0	1.0	placeholder
Zfp263_glue	Zfp263	0.0	1.0	placeholder
Sp1_glue	Sp1	0.0	1.0	placeholder
Klf4_glue	Klf4	0.0	1.0	placeholder
Irf3_glue	Irf3	0.0	1.0	placeholder
Irf1_glue	Irf1	0.0	1.0	placeholder
Irf7_glue	Irf7	0.0	1.0	placeholder
Zfp14_glue	Zfp14	0.0	1.0	placeholder
Tfcp2_glue	Tfcp2	0.0	1.0	placeholder
Vdr_glue	Vdr	0.0	1.0	placeholder
Spi1_glue	Spi1	0.0	1.0	placeholder
Zkscan1_glue	Zkscan1	0.0	1.0	placeholder
Bnc2_glue	Bnc2	0.0	1.0	placeholder
Tcf12_glue	Tcf12	0.0	1.0	placeholder
Zeb1_glue	Zeb1	0.0	1.0	placeholder
Ebf1_glue	Ebf1	0.0	1.0	placeholder
Ebf2_glue	Ebf2	0.0	1.0	placeholder
Ebf3_glue	Ebf3	0.0	1.0	placeholder
Spz1_glue	Spz1	0.0	1.0	placeholder
Gata6_glue	Gata6	0.0	1.0	placeholder
Stat4_glue	Stat4	0.0	1.0	placeholder
Stat5a_glue	Stat5a	0.0	1.0	placeholder
Stat1_glue	Stat1	0.0	1.0	placeholder
Stat3_glue	Stat3	0.0	1.0	placeholder
Zscan29_glue	Zscan29	0.0	1.0	placeholder
Tbx18_glue	Tbx18	0.0	1.0	placeholder
Tbx3_glue	Tbx3	0.0	1.0	placeholder
Zfp574_glue	Zfp574	0.0	1.0	placeholder
Klf5_glue	Klf5	0.0	1.0	placeholder
Yy1_glue	Yy1	0.0	1.0	placeholder
Tcf7l2_glue	Tcf7l2	0.0	1.0	placeholder
Gata4_glue	Gata4	0.0	1.0	placeholder
Erg_glue	Erg	0.0	1.0	placeholder
Etv1_glue	Etv1	0.0	1.0	placeholder
Gabpa_glue	Gabpa	0.0	1.0	placeholder
Ppard_glue	Ppard	0.0	1.0	placeholder
Nr2c2_glue	Nr2c2	0.0	1.0	placeholder
Nr2f6_glue	Nr2f6	0.0	1.0	placeholder
Rxra_glue	Rxra	0.0	1.0	placeholder
Spib_glue	Spib	0.0	1.0	placeholder
Elf1_glue	Elf1	0.0	1.0	placeholder
Zkscan5_glue	Zkscan5	0.0	1.0	placeholder
Tcf3_glue	Tcf3	0.0	1.0	placeholder
Zfp652_glue	Zfp652	0.0	1.0	placeholder
Zfp189_glue	Zfp189	0.0	1.0	placeholder
Myb_glue	Myb	0.0	1.0	placeholder
Mef2c_glue	Mef2c	0.0	1.0	placeholder
Mef2a_glue	Mef2a	0.0	1.0	placeholder
Prdm1_glue	Prdm1	0.0	1.0	placeholder
